ProcedureID,ProcedureName,DepartmentID,StandardCost
PRO001,general consultation,DEP007,85
PRO002,emergency assessment,DEP001,140
PRO003,ECG,DEP002,120
PRO004,ECHOCARDIOGRAM,DEP002,360
PRO005,NEUROLOGICAL EXAMINATION,DEP003,190
PRO006,EEG,DEP003,420
PRO007, Fracture Treatment ,DEP004,680
PRO008,joint injection,DEP004,310
PRO009,Child Wellness Check,DEP005,95
PRO010,Paediatric Treatment,DEP005,230
PRO011,ANTENATAL CONSULTATION,DEP006,110
PRO012, Ultrasound Scan ,DEP006,280
PRO013, Blood Test ,DEP007,75
PRO014,X-Ray,DEP008,160
PRO015,CT Scan,DEP008,620
PRO016,MRI Scan,DEP008,950
PRO017,INPATIENT CARE,DEP007,520
PRO018,MINOR SURGERY,DEP004,1250
